regression,term,term_type,feature_id,paper_feature_name,feature_group,paper_expected_direction,paper_p_threshold,coef_logit,std_err,z_value,p_value,ci95_low_logit,ci95_high_logit,odds_ratio,or_ci95_low,or_ci95_high,observed_direction,direction_matches_paper,n_features_used
human_logistic_regression_clustered_by_pair,z_reply_frac_in_all,feature,reply_frac_in_all,reply frac. in all,interplay,down,0.0001,-0.11462859727979702,0.29948764805111255,-0.38274899824995035,0.7019058804456544,-0.7016136012745849,0.4723564067149909,0.8916972612025011,0.49578465924652104,1.6037688758753603,down,True,40
human_logistic_regression_clustered_by_pair,z_reply_frac_in_content,feature,reply_frac_in_content,reply frac. in content,interplay,down,0.0001,-0.12068360156056362,0.22638033475168304,-0.5331010827108356,0.5939636096262279,-0.5643809044819836,0.32301370136085633,0.8863143437091878,0.5687121249198264,1.3812842762502924,down,True,40
human_logistic_regression_clustered_by_pair,z_op_frac_in_stopwords,feature,op_frac_in_stopwords,OP frac. in stopwords,interplay,up,0.0001,-0.297429031094561,0.1457173714482325,-2.041136400818385,0.04123727113105251,-0.5830298310549418,-0.011828231134180134,0.7427252917514242,0.5582045364121335,0.9882414473965344,down,False,40
human_logistic_regression_clustered_by_pair,z_common_in_stopwords,feature,common_in_stopwords,#common in stopwords,interplay,up,0.0001,0.3165210179057515,0.11793618724514755,2.6838328870833887,0.007278347682493828,0.08537033843129019,0.5476716973802128,1.3723450857527715,1.0891203351372902,1.7292221746574743,up,True,40
human_logistic_regression_clustered_by_pair,z_reply_frac_in_stopwords,feature,reply_frac_in_stopwords,reply frac. in stopwords,interplay,down,0.0001,-0.08911707637765967,0.13708645593819455,-0.6500793661033744,0.515640956818749,-0.357801592784758,0.17956744002943867,0.9147384730381737,0.6992117899091521,1.1966996068028648,down,True,40
human_logistic_regression_clustered_by_pair,z_op_frac_in_all,feature,op_frac_in_all,OP frac. in all,interplay,up,0.0001,0.40695075291734517,0.3090951504745789,1.316587310711671,0.18797699450926886,-0.19886460980881815,1.0127661156435086,1.5022301233892068,0.8196608598613873,2.7532061784670074,up,True,40
human_logistic_regression_clustered_by_pair,z_jaccard_in_content,feature,jaccard_in_content,Jaccard in content,interplay,down,0.0001,0.13981228490675873,0.2998028877585828,0.4663473589331901,0.6409668848545726,-0.44779057756116786,0.7274151473746853,1.1500578953686276,0.639038499020469,2.069723756435763,up,False,40
human_logistic_regression_clustered_by_pair,z_jaccard_in_stopwords,feature,jaccard_in_stopwords,Jaccard in stopwords,interplay,up,0.0001,0.3868778266726594,0.16649292836489935,2.3236892429734115,0.02014215541475257,0.060557683396849527,0.7131979699484693,1.472376595136378,1.062428880309537,2.0405063134896912,up,True,40
human_logistic_regression_clustered_by_pair,z_common_in_content,feature,common_in_content,#common in content,interplay,up,0.0001,-0.09152115490006313,0.07709920560878146,-1.1870570413456898,0.2352051216019415,-0.24263282112992332,0.05959051132979706,0.9125420112127642,0.784559534574157,1.0614018255226831,down,False,40
human_logistic_regression_clustered_by_pair,z_op_frac_in_content,feature,op_frac_in_content,OP frac. in content,interplay,up,0.05,-0.0892046311757641,0.2596299211109995,-0.34358378569789916,0.7311593203028125,-0.5980699258622986,0.4196606635107703,0.9146583868018667,0.5498719061100477,1.521445186144065,down,False,40
human_logistic_regression_clustered_by_pair,z_jaccard_in_all,feature,jaccard_in_all,Jaccard in all,interplay,down,0.05,-0.5340920983349497,0.2924507079097028,-1.8262636536337475,0.06781055727676691,-1.1072849530912103,0.039100756421310834,0.5862012617208835,0.3304549448823594,1.0398752524810526,down,True,40
human_logistic_regression_clustered_by_pair,z_num_words,feature,num_words,#words,argument_only,up,0.0001,-0.37450633489665774,0.24412701238871443,-1.5340634829067794,0.12501403589781548,-0.8529864868319016,0.1039738170385861,0.6876286532855928,0.4261403670656547,1.1095714026700252,down,False,40
human_logistic_regression_clustered_by_pair,z_num_definite_articles,feature,num_definite_articles,#definite articles,argument_only,up,0.0001,0.07003648909601573,0.08061456675284556,0.8687820566069538,0.38496634930031004,-0.08796515836886162,0.22803813656089308,1.0725473168222264,0.9157927838818489,1.2561332291202796,up,True,40
human_logistic_regression_clustered_by_pair,z_num_indefinite_articles,feature,num_indefinite_articles,#indefinite articles,argument_only,up,0.0001,0.0480734514880769,0.05196389705463955,0.9251317590273901,0.35489737482136596,-0.05377391523536361,0.14992081821151743,1.0492477213006213,0.9476463306821049,1.161742250257136,up,True,40
human_logistic_regression_clustered_by_pair,z_num_positive_words,feature,num_positive_words,#positive words,argument_only,up,0.0001,0.16782232647986725,0.15932232940640567,1.0533509465065594,0.2921801773148214,-0.14444370108971463,0.48008835404944916,1.1827264528063977,0.8655036379431608,1.6162171952186164,up,True,40
